source_season,depth_source_format,season,week,game_type,dt,depth_timestamp,team,player_name,espn_id,gsis_id,roster_position,pos_grp_id,pos_grp,pos_id,pos_name,pos_abb,pos_slot,pos_rank,data_split
2020,legacy_weekly,2020,1,REG,,,ARI,Max Garcia,,00-0032132,G,,Offense,,LG,LG,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,D.J. Humphries,,00-0032222,T,,Offense,,LT,LT,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,De'Vondre Campbell,,00-0032401,ILB,,Defense,,ILB,ILB,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Justin Murray,,00-0032528,T,,Offense,,RG,RG,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,Justin Murray,,00-0032528,T,,Offense,,RT,RT,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,Charles Washington,,00-0032560,FS,,Defense,,S,S,,3,training
2020,legacy_weekly,2020,1,REG,,,ARI,Kevin Peterson,,00-0032848,CB,,Defense,,CB,CB,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,Kenyan Drake,,00-0033118,RB,,Offense,,RB,RB,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Darrell Daniels,,00-0033258,TE,,Offense,,TE,TE,,3,training
2020,legacy_weekly,2020,1,REG,,,ARI,Tanner Vallejo,,00-0033580,ILB,,Defense,,ILB,ILB,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,Zane Gonzalez,,00-0033862,K,,Special Teams,,K,K,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Haason Reddick,,00-0033875,OLB,,Defense,,OLB,OLB,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,Budda Baker,,00-0033890,SS,,Defense,,S,S,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Dan Arnold,,00-0034011,TE,,Offense,,TE,TE,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,Kylie Fitts,,00-0034404,OLB,,Defense,,OLB,OLB,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,Dennis Gardeck,,00-0034473,OLB,,Defense,,OLB,OLB,,3,training
2020,legacy_weekly,2020,1,REG,,,ARI,Trent Sherfield,,00-0034487,WR,,Offense,,WR,WR,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,Ezekiel Turner,,00-0034490,ILB,,Defense,,ILB,ILB,,3,training
2020,legacy_weekly,2020,1,REG,,,ARI,Chase Edmonds,,00-0034681,RB,,Offense,,RB,RB,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,Chase Edmonds,,00-0034681,RB,,Special Teams,,KOR,KOR,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,Christian Kirk,,00-0034775,WR,,Offense,,WR,WR,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Christian Kirk,,00-0034775,WR,,Special Teams,,PR,PR,,2,training
2020,legacy_weekly,2020,1,REG,,,ARI,Mason Cole,,00-0034785,C,,Offense,,C,C,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Kyler Murray,,00-0035228,QB,,Offense,,QB,QB,,1,training
2020,legacy_weekly,2020,1,REG,,,ARI,Byron Murphy,,00-0035236,CB,,Defense,,CB,CB,,2,training
