season,week,game_id,game_date,team,opponent,sacks,interceptions,fumble_recoveries,defensive_touchdowns,special_teams_touchdowns,blocked_kicks,safeties,points_allowed,yards_allowed,espn_fantasy_points,yahoo_fantasy_points
2025,4,2025_04_TEN_HOU,2025-09-28,TEN,HOU,2,0,0,0,0,0,0,26.0,371,1.0,2.0
2025,4,2025_04_WAS_ATL,2025-09-28,ATL,WAS,2,1,0,0,0,0,0,27.0,312,4.0,4.0
2025,4,2025_04_WAS_ATL,2025-09-28,WAS,ATL,1,1,0,0,0,0,0,34.0,447,-1.0,2.0
2025,5,2025_05_DAL_NYJ,2025-10-05,DAL,NYJ,5,0,1,0,0,0,0,22.0,476,2.0,7.0
2025,5,2025_05_DAL_NYJ,2025-10-05,NYJ,DAL,1,0,0,0,0,0,0,37.0,418,-5.0,-3.0
2025,5,2025_05_DEN_PHI,2025-10-05,DEN,PHI,6,0,0,0,0,0,0,17.0,348,7.0,7.0
2025,5,2025_05_DEN_PHI,2025-10-05,PHI,DEN,2,0,0,0,0,0,0,21.0,386,1.0,2.0
2025,5,2025_05_DET_CIN,2025-10-05,CIN,DET,4,0,1,0,0,0,0,37.0,393,2.0,2.0
2025,5,2025_05_DET_CIN,2025-10-05,DET,CIN,2,3,0,0,0,0,1,24.0,350,9.0,10.0
2025,5,2025_05_HOU_BAL,2025-10-05,BAL,HOU,2,0,0,0,0,0,0,44.0,451,-6.0,-2.0
2025,5,2025_05_HOU_BAL,2025-10-05,HOU,BAL,1,3,0,0,0,0,0,10.0,239,12.0,11.0
2025,5,2025_05_KC_JAX,2025-10-06,JAX,KC,0,1,0,1,0,0,0,28.0,476,2.0,7.0
2025,5,2025_05_KC_JAX,2025-10-06,KC,JAX,3,1,1,0,0,0,0,25.0,341,7.0,7.0
2025,5,2025_05_LV_IND,2025-10-05,IND,LV,4,2,0,0,0,1,0,6.0,372,13.0,17.0
2025,5,2025_05_LV_IND,2025-10-05,LV,IND,0,0,0,0,0,0,0,40.0,317,-3.0,-4.0
2025,5,2025_05_MIA_CAR,2025-10-05,CAR,MIA,3,0,0,0,0,0,0,24.0,302,3.0,3.0
2025,5,2025_05_MIA_CAR,2025-10-05,MIA,CAR,3,1,1,0,0,0,0,27.0,456,2.0,7.0
2025,5,2025_05_MIN_CLE,2025-10-05,CLE,MIN,3,0,2,0,0,0,0,21.0,381,6.0,7.0
2025,5,2025_05_MIN_CLE,2025-10-05,MIN,CLE,2,0,0,0,0,0,0,17.0,338,3.0,3.0
2025,5,2025_05_NE_BUF,2025-10-05,BUF,NE,4,0,1,0,0,0,0,23.0,350,5.0,6.0
2025,5,2025_05_NE_BUF,2025-10-05,NE,BUF,1,1,2,0,0,0,0,20.0,379,6.0,8.0
2025,5,2025_05_NYG_NO,2025-10-05,NO,NYG,1,2,3,1,0,0,0,14.0,341,18.0,18.0
2025,5,2025_05_NYG_NO,2025-10-05,NYG,NO,0,0,0,0,0,0,0,20.0,332,0.0,1.0
2025,5,2025_05_SF_LA,2025-10-02,LA,SF,1,0,0,0,0,0,0,26.0,425,-2.0,1.0
2025,5,2025_05_SF_LA,2025-10-02,SF,LA,1,0,2,0,0,1,0,23.0,478,2.0,7.0
2025,5,2025_05_TB_SEA,2025-10-05,SEA,TB,1,0,0,0,0,0,0,38.0,444,-5.0,-3.0
2025,5,2025_05_TB_SEA,2025-10-05,TB,SEA,0,1,1,0,0,0,0,35.0,463,-4.0,0.0
2025,5,2025_05_TEN_ARI,2025-10-05,ARI,TEN,2,1,1,0,0,0,0,22.0,359,5.0,6.0
2025,5,2025_05_TEN_ARI,2025-10-05,TEN,ARI,3,0,2,0,0,0,0,21.0,416,4.0,7.0
2025,5,2025_05_WAS_LAC,2025-10-05,LAC,WAS,1,0,1,0,0,0,0,27.0,399,2.0,3.0
2025,5,2025_05_WAS_LAC,2025-10-05,WAS,LAC,5,1,1,0,0,0,0,10.0,394,11.0,13.0
2025,6,2025_06_ARI_IND,2025-10-12,ARI,IND,1,1,0,0,0,0,0,31.0,369,1.0,2.0
2025,6,2025_06_ARI_IND,2025-10-12,IND,ARI,2,1,0,0,0,0,0,27.0,416,1.0,4.0
2025,6,2025_06_BUF_ATL,2025-10-13,ATL,BUF,4,2,0,0,0,0,0,14.0,337,9.0,9.0
2025,6,2025_06_BUF_ATL,2025-10-13,BUF,ATL,2,0,0,0,0,1,0,24.0,477,-1.0,4.0
2025,6,2025_06_CHI_WAS,2025-10-13,CHI,WAS,3,1,2,0,0,0,0,24.0,341,9.0,9.0
2025,6,2025_06_CHI_WAS,2025-10-13,WAS,CHI,3,0,0,0,0,1,0,25.0,418,2.0,5.0
2025,6,2025_06_CIN_GB,2025-10-12,CIN,GB,1,1,0,0,0,0,0,27.0,415,0.0,3.0
2025,6,2025_06_CIN_GB,2025-10-12,GB,CIN,1,0,0,0,0,0,0,18.0,280,3.0,2.0
2025,6,2025_06_CLE_PIT,2025-10-12,CLE,PIT,0,0,0,0,0,0,0,23.0,335,0.0,0.0
2025,6,2025_06_CLE_PIT,2025-10-12,PIT,CLE,6,0,0,0,0,0,0,9.0,324,9.0,10.0
2025,6,2025_06_DAL_CAR,2025-10-12,CAR,DAL,0,0,0,0,0,0,0,27.0,292,2.0,0.0
2025,6,2025_06_DAL_CAR,2025-10-12,DAL,CAR,1,1,0,0,0,0,0,30.0,420,-1.0,2.0
2025,6,2025_06_DEN_NYJ,2025-10-12,DEN,NYJ,9,0,0,0,0,0,0,11.0,192,15.0,13.0
2025,6,2025_06_DEN_NYJ,2025-10-12,NYJ,DEN,1,0,1,0,0,0,0,13.0,258,8.0,7.0
2025,6,2025_06_DET_KC,2025-10-12,DET,KC,3,0,0,0,0,0,0,30.0,383,1.0,2.0
2025,6,2025_06_DET_KC,2025-10-12,KC,DET,1,0,0,0,0,0,0,17.0,305,2.0,2.0
2025,6,2025_06_LAC_MIA,2025-10-12,LAC,MIA,2,3,0,0,0,0,0,27.0,359,7.0,8.0
2025,6,2025_06_LAC_MIA,2025-10-12,MIA,LAC,1,0,1,0,0,0,0,29.0,405,-1.0,2.0
2025,6,2025_06_LA_BAL,2025-10-12,BAL,LA,2,0,1,0,0,0,0,17.0,269,7.0,5.0
2025,6,2025_06_LA_BAL,2025-10-12,LA,BAL,4,1,2,0,0,0,0,3.0,342,14.0,17.0
2025,6,2025_06_NE_NO,2025-10-12,NE,NO,2,0,1,0,0,0,0,19.0,304,4.0,5.0
2025,6,2025_06_NE_NO,2025-10-12,NO,NE,1,0,0,0,0,0,0,25.0,335,1.0,1.0
2025,6,2025_06_PHI_NYG,2025-10-09,NYG,PHI,3,1,1,0,0,0,0,17.0,373,7.0,8.0
2025,6,2025_06_PHI_NYG,2025-10-09,PHI,NYG,2,0,0,0,0,0,1,34.0,368,2.0,3.0
2025,6,2025_06_SEA_JAX,2025-10-12,JAX,SEA,1,0,0,0,0,0,0,20.0,364,0.0,2.0
2025,6,2025_06_SEA_JAX,2025-10-12,SEA,JAX,7,0,0,0,0,0,0,12.0,361,9.0,11.0
2025,6,2025_06_SF_TB,2025-10-12,SF,TB,1,0,0,0,0,0,0,30.0,368,-1.0,0.0
2025,6,2025_06_SF_TB,2025-10-12,TB,SF,6,2,0,0,0,0,0,19.0,465,5.0,11.0
2025,6,2025_06_TEN_LV,2025-10-12,LV,TEN,6,1,2,0,0,0,0,10.0,349,15.0,16.0
2025,6,2025_06_TEN_LV,2025-10-12,TEN,LV,2,1,0,0,0,0,0,20.0,258,6.0,5.0
2025,7,2025_07_ATL_SF,2025-10-19,ATL,SF,1,1,0,0,0,0,0,20.0,328,3.0,4.0
2025,7,2025_07_ATL_SF,2025-10-19,SF,ATL,2,0,1,0,0,0,0,10.0,314,7.0,8.0
2025,7,2025_07_CAR_NYJ,2025-10-19,CAR,NYJ,6,2,0,0,0,0,0,6.0,286,16.0,17.0
2025,7,2025_07_CAR_NYJ,2025-10-19,NYJ,CAR,2,0,0,0,0,0,0,13.0,344,5.0,6.0
2025,7,2025_07_GB_ARI,2025-10-19,ARI,GB,1,0,0,0,0,0,0,27.0,284,3.0,1.0
2025,7,2025_07_GB_ARI,2025-10-19,GB,ARI,6,0,1,0,0,0,0,23.0,416,5.0,8.0
2025,7,2025_07_HOU_SEA,2025-10-20,HOU,SEA,2,2,2,1,0,1,0,27.0,346,18.0,18.0
2025,7,2025_07_HOU_SEA,2025-10-20,SEA,HOU,3,1,0,0,0,0,0,13.0,316,8.0,9.0
2025,7,2025_07_IND_LAC,2025-10-19,IND,LAC,3,2,0,0,0,0,0,24.0,503,1.0,7.0
2025,7,2025_07_IND_LAC,2025-10-19,LAC,IND,1,0,0,0,0,0,0,38.0,415,-5.0,-3.0
2025,7,2025_07_LA_JAX,2025-10-19,JAX,LA,0,0,0,0,0,0,0,35.0,271,-1.0,-4.0
2025,7,2025_07_LA_JAX,2025-10-19,LA,JAX,7,0,0,0,0,0,0,7.0,422,7.0,11.0
2025,7,2025_07_LV_KC,2025-10-19,KC,LV,1,0,1,0,0,0,0,0.0,105,11.0,13.0
2025,7,2025_07_LV_KC,2025-10-19,LV,KC,1,0,0,0,0,0,0,31.0,442,-3.0,0.0
2025,7,2025_07_MIA_CLE,2025-10-19,CLE,MIA,4,3,1,1,0,0,0,6.0,285,24.0,25.0
2025,7,2025_07_MIA_CLE,2025-10-19,MIA,CLE,2,0,0,0,0,0,0,25.0,234,4.0,2.0
2025,7,2025_07_NE_TEN,2025-10-19,NE,TEN,5,1,1,1,0,0,0,13.0,333,18.0,19.0
2025,7,2025_07_NE_TEN,2025-10-19,TEN,NE,4,0,0,0,0,0,0,25.0,431,1.0,4.0
2025,7,2025_07_NO_CHI,2025-10-19,CHI,NO,4,3,1,0,0,0,0,14.0,301,13.0,13.0
2025,7,2025_07_NO_CHI,2025-10-19,NO,CHI,1,1,0,0,0,0,0,26.0,402,0.0,3.0
2025,7,2025_07_NYG_DEN,2025-10-19,DEN,NYG,4,1,0,0,0,0,0,32.0,417,2.0,5.0
2025,7,2025_07_NYG_DEN,2025-10-19,NYG,DEN,2,0,0,0,0,0,0,33.0,435,-2.0,1.0
2025,7,2025_07_PHI_MIN,2025-10-19,MIN,PHI,3,0,0,0,0,0,0,22.0,381,2.0,3.0
2025,7,2025_07_PHI_MIN,2025-10-19,PHI,MIN,2,2,0,1,0,0,0,22.0,417,9.0,12.0
2025,7,2025_07_PIT_CIN,2025-10-16,CIN,PIT,0,2,0,0,0,0,0,31.0,396,2.0,3.0
2025,7,2025_07_PIT_CIN,2025-10-16,PIT,CIN,2,0,0,0,0,0,0,33.0,498,-4.0,1.0
2025,7,2025_07_TB_DET,2025-10-20,DET,TB,4,1,1,0,0,0,0,9.0,287,13.0,12.0
2025,7,2025_07_TB_DET,2025-10-20,TB,DET,4,1,1,0,0,0,0,24.0,431,5.0,8.0
2025,7,2025_07_WAS_DAL,2025-10-19,DAL,WAS,4,1,1,1,0,0,0,22.0,369,13.0,14.0
